status	type	_groupID	kept	discarded	count_kept	count_discarded
OK	many-to-1	g00001	PGSC0003DMG400000001|PGSC0003DMG400000251	Sotub01g031030.1.1	2	1
OK	1-to-1	g00002	Sotub01g031040.1.1	PGSC0003DMG400000002	1	1
OK	1-to-1	g00003	PGSC0003DMG400000003	Sotub01g031070.1.1	1	1
OK	1-to-1	g00004	Sotub01g031080.1.1	PGSC0003DMG400000004	1	1
OK	1-to-1	g00005	Sotub01g031100.1.1	PGSC0003DMG400000005	1	1
OK	1-to-1	g00006	Sotub01g031170.1.1	PGSC0003DMG400000008	1	1
OK	1-to-1	g00007	Sotub01g031180.1.1	PGSC0003DMG400000009	1	1
OK	1-to-1	g00008	Sotub01g031200.1.1	PGSC0003DMG400000010	1	1
OK	1-to-1	g00009	Sotub01g031210.1.1	PGSC0003DMG400000011	1	1
OK	1-to-1	g00010	Sotub01g031300.1.1	PGSC0003DMG400000012	1	1
OK	1-to-1	g00011	Sotub01g031360.1.1	PGSC0003DMG400000013	1	1
OK	1-to-1	g00012	Sotub01g031390.1.1	PGSC0003DMG400000014	1	1
OK	1-to-1	g00013	Sotub01g031410.1.1	PGSC0003DMG400000015	1	1
OK	1-to-1	g00014	Sotub01g031440.1.1	PGSC0003DMG400000016	1	1
OK	1-to-1	g00015	Sotub01g031470.1.1	PGSC0003DMG400000017	1	1
OK	1-to-1	g00016	Sotub01g031610.1.1	PGSC0003DMG400000021	1	1
OK	many-to-1	g00017	PGSC0003DMG400000022|PGSC0003DMG400038230	Sotub01g031620.1.1	2	1
OK	1-to-1	g00018	Sotub01g031660.1.1	PGSC0003DMG400000023	1	1
OK	singleton	g00019	PGSC0003DMG400000024	-	1	0
OK	1-to-1	g00020	Sotub01g031700.1.1	PGSC0003DMG400000025	1	1
OK	1-to-1	g00021	Sotub01g031720.1.1	PGSC0003DMG400000027	1	1
OK	many-to-1	g00022	Sotub01g031740.1.1|Sotub01g031750.1.1	PGSC0003DMG400000028	2	1
FIXED	1-to-1	g00023.1	PGSC0003DMG401000029	Sotub01g031770.1.1	1	1
FIXED	1-to-many	g00023.2	Sotub01g031780.1.1	PGSC0003DMG400000030|PGSC0003DMG402000029	1	2
OK	1-to-1	g00024	Sotub01g031790.1.1	PGSC0003DMG400000031	1	1
OK	1-to-1	g00025	Sotub01g031800.1.1	PGSC0003DMG400000032	1	1
OK	many-to-1	g00026	PGSC0003DMG400000033|PGSC0003DMG400000034	Sotub01g031810.1.1	2	1
OK	singleton	g00027	PGSC0003DMG400000036	-	1	0
OK	1-to-1	g00028	PGSC0003DMG400000037	Sotub01g031910.1.1	1	1
OK	1-to-1	g00029	Sotub01g031930.1.1	PGSC0003DMG400000038	1	1
OK	1-to-1	g00030	Sotub01g031980.1.1	PGSC0003DMG400000039	1	1
OK	1-to-1	g00031	Sotub01g031990.1.1	PGSC0003DMG400000040	1	1
OK	1-to-1	g00032	Sotub01g032030.1.1	PGSC0003DMG400000042	1	1
OK	1-to-1	g00033	Sotub01g032060.1.1	PGSC0003DMG400000043	1	1
OK	1-to-1	g00034	Sotub01g032080.1.1	PGSC0003DMG400000045	1	1
OK	1-to-1	g00035	Sotub01g032090.1.1	PGSC0003DMG400000046	1	1
OK	1-to-1	g00036	Sotub01g032100.1.1	PGSC0003DMG400000047	1	1
OK	1-to-1	g00037	PGSC0003DMG400000048	Sotub01g032150.1.1	1	1
OK	1-to-1	g00038	Sotub01g032170.1.1	PGSC0003DMG400000049	1	1
OK	1-to-1	g00039	Sotub01g032180.1.1	PGSC0003DMG400000050	1	1
OK	1-to-1	g00040	Sotub01g032240.1.1	PGSC0003DMG400000052	1	1
OK	1-to-1	g00041	Sotub01g032260.1.1	PGSC0003DMG400000053	1	1
